,t,x,y,etype,priority_s,id,F1-0-x,F1-0-y,F1-1-x,F1-1-y,F2-2-x,F2-2-y,F2-3-x,F2-3-y,P1-4-x,P1-4-y,P1-5-x,P1-5-y,P2-6-x,P2-6-y,P2-7-x,P2-7-y,H1-8-x,H1-8-y,H1-9-x,H1-9-y,H2-10-x,H2-10-y,H2-11-x,H2-11-y,points,done
224,16385.85706872266,164.77107027808952,181.8775276855784,police,300,224,1.2767648881557792,27.498306099392032,20,20,166.57823386809753,77.89536253338825,172.81696829389645,148.25047574329778,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,75.82077283762791,42.3320568422963,127.54571835213112,186.7807442196002,55.17628817231737,193.64137518727736,185,
448,16526.569219451965,198.82473209538404,186.9165597769893,fire,60,448,1.2767648881557792,27.498306099392032,20,20,166.57823386809753,77.89536253338825,172.81696829389645,148.25047574329778,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,75.82077283762791,42.3320568422963,164.77107027808952,181.8775276855784,55.17628817231737,193.64137518727736,183,
488,17617.290479677547,30.20592929294923,43.74393449087874,police,120,488,1.2767648881557792,27.498306099392032,20,20,166.57823386809753,77.89536253338825,198.82473209538404,186.9165597769893,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,75.82077283762791,42.3320568422963,164.77107027808952,181.8775276855784,55.17628817231737,193.64137518727736,200,
235,17783.751612073047,153.03147517771689,41.4314740693317,fire,30,235,1.2767648881557792,27.498306099392032,20,20,166.57823386809753,77.89536253338825,198.82473209538404,186.9165597769893,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,30.20592929294923,43.74393449087874,164.77107027808952,181.8775276855784,55.17628817231737,193.64137518727736,200,
262,18036.541187568808,148.19381182368397,194.3620637516038,fire,120,262,1.2767648881557792,27.498306099392032,20,20,153.03147517771689,41.4314740693317,198.82473209538404,186.9165597769893,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,30.20592929294923,43.74393449087874,164.77107027808952,181.8775276855784,55.17628817231737,193.64137518727736,203,
38,18366.22509113897,47.60092687379904,133.7955556592561,fire,120,38,1.2767648881557792,27.498306099392032,20,20,153.03147517771689,41.4314740693317,148.19381182368397,194.3620637516038,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,30.20592929294923,43.74393449087874,164.77107027808952,181.8775276855784,55.17628817231737,193.64137518727736,206,
273,18681.968716687312,172.3528724045177,8.460452312558274,fire,60,273,47.60092687379904,133.7955556592561,20,20,153.03147517771689,41.4314740693317,148.19381182368397,194.3620637516038,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,30.20592929294923,43.74393449087874,164.77107027808952,181.8775276855784,55.17628817231737,193.64137518727736,209,
377,18914.60821098563,11.982606586933798,87.92109998408219,police,120,377,47.60092687379904,133.7955556592561,20,20,172.3528724045177,8.460452312558274,148.19381182368397,194.3620637516038,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,30.20592929294923,43.74393449087874,164.77107027808952,181.8775276855784,55.17628817231737,193.64137518727736,211,
69,19503.208531120417,176.6212786600286,180.78571431197864,medical,60,69,47.60092687379904,133.7955556592561,20,20,172.3528724045177,8.460452312558274,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,30.20592929294923,43.74393449087874,164.77107027808952,181.8775276855784,55.17628817231737,193.64137518727736,218,
106,20083.68532173952,57.1456301726305,54.34302141643692,police,300,106,47.60092687379904,133.7955556592561,20,20,172.3528724045177,8.460452312558274,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,30.20592929294923,43.74393449087874,176.6212786600286,180.78571431197864,55.17628817231737,193.64137518727736,226,
414,20484.42981375321,184.8019263779761,131.1944101101815,medical,120,414,47.60092687379904,133.7955556592561,20,20,172.3528724045177,8.460452312558274,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,57.1456301726305,54.34302141643692,176.6212786600286,180.78571431197864,55.17628817231737,193.64137518727736,227,
53,20764.89179036012,37.16499219614464,119.00702129000553,medical,60,53,47.60092687379904,133.7955556592561,20,20,172.3528724045177,8.460452312558274,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,57.1456301726305,54.34302141643692,184.8019263779761,131.1944101101815,55.17628817231737,193.64137518727736,229,
107,20885.728864867662,30.16613160261732,76.60705848626763,fire,120,107,37.16499219614464,119.00702129000553,20,20,172.3528724045177,8.460452312558274,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,57.1456301726305,54.34302141643692,184.8019263779761,131.1944101101815,55.17628817231737,193.64137518727736,230,
157,21043.79104904233,47.97303553493848,110.3984491155518,fire,30,157,30.16613160261732,76.60705848626763,20,20,172.3528724045177,8.460452312558274,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,57.1456301726305,54.34302141643692,184.8019263779761,131.1944101101815,55.17628817231737,193.64137518727736,230,
266,21145.93193627189,88.62259486606521,84.80295462259903,medical,120,266,47.97303553493848,110.3984491155518,20,20,172.3528724045177,8.460452312558274,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,57.1456301726305,54.34302141643692,184.8019263779761,131.1944101101815,55.17628817231737,193.64137518727736,231,
315,21740.432496367997,32.0624668490757,89.86384407476515,medical,60,315,47.97303553493848,110.3984491155518,20,20,172.3528724045177,8.460452312558274,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,88.62259486606521,84.80295462259903,184.8019263779761,131.1944101101815,55.17628817231737,193.64137518727736,238,
431,22482.42994469385,133.85117068199085,36.95624020946799,fire,60,431,32.0624668490757,89.86384407476515,20,20,172.3528724045177,8.460452312558274,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,88.62259486606521,84.80295462259903,184.8019263779761,131.1944101101815,55.17628817231737,193.64137518727736,249,
173,22825.0982874844,50.47977018844154,23.18432028619157,police,300,173,32.0624668490757,89.86384407476515,20,20,133.85117068199085,36.95624020946799,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,88.62259486606521,84.80295462259903,184.8019263779761,131.1944101101815,55.17628817231737,193.64137518727736,253,
277,22843.265232411708,168.8968719629394,48.663294964546736,medical,120,277,32.0624668490757,89.86384407476515,20,20,133.85117068199085,36.95624020946799,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,32.68533753802848,6.174990768734944,88.62259486606521,84.80295462259903,184.8019263779761,131.1944101101815,55.17628817231737,193.64137518727736,253,
220,23406.50534737679,78.9149120657424,52.89171567048477,fire,60,220,32.0624668490757,89.86384407476515,20,20,168.8968719629394,48.663294964546736,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,50.47977018844154,23.18432028619157,88.62259486606521,84.80295462259903,184.8019263779761,131.1944101101815,55.17628817231737,193.64137518727736,264,
471,23966.66789976306,144.9169424614404,38.096323686147656,police,120,471,78.9149120657424,52.89171567048477,20,20,168.8968719629394,48.663294964546736,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,50.47977018844154,23.18432028619157,88.62259486606521,84.80295462259903,184.8019263779761,131.1944101101815,55.17628817231737,193.64137518727736,272,
6,24039.72260413434,19.3432753666928,169.49887326949195,medical,120,6,78.9149120657424,52.89171567048477,20,20,168.8968719629394,48.663294964546736,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,50.47977018844154,23.18432028619157,88.51011619702903,84.69532379232713,184.8019263779761,131.1944101101815,55.17628817231737,193.64137518727736,272,
497,24235.33100670676,75.85280444796318,110.54028790593908,fire,120,497,78.9149120657424,52.89171567048477,20,20,168.8968719629394,48.663294964546736,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,50.47977018844154,23.18432028619157,144.9169424614404,38.096323686147656,184.8019263779761,131.1944101101815,19.3432753666928,169.49887326949195,275,
296,24495.941595912453,135.6758689680162,56.829394775622745,medical,600,296,75.85280444796318,110.54028790593908,20,20,168.8968719629394,48.663294964546736,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,50.47977018844154,23.18432028619157,144.9169424614404,38.096323686147656,184.8019263779761,131.1944101101815,19.3432753666928,169.49887326949195,277,
213,25184.89060820817,125.4916215633461,7.884514792163477,police,60,213,75.85280444796318,110.54028790593908,20,20,168.8968719629394,48.663294964546736,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,50.47977018844154,23.18432028619157,135.6758689680162,56.829394775622745,184.8019263779761,131.1944101101815,19.3432753666928,169.49887326949195,278,
156,25721.342581625107,152.54742087094172,125.10300608132064,police,300,156,75.85280444796318,110.54028790593908,20,20,168.8968719629394,48.663294964546736,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,150,120,50.47977018844154,23.18432028619157,125.4916215633461,7.884514792163477,184.8019263779761,131.1944101101815,19.3432753666928,169.49887326949195,285,
231,25752.71869790898,137.13605309625706,108.893172296429,medical,120,231,75.85280444796318,110.54028790593908,20,20,168.8968719629394,48.663294964546736,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,152.54742087094172,125.10300608132064,50.47977018844154,23.18432028619157,125.4916215633461,7.884514792163477,184.8019263779761,131.1944101101815,19.3432753666928,169.49887326949195,281,
418,25971.31098454977,66.05872469746777,94.48078140697612,medical,60,418,75.85280444796318,110.54028790593908,20,20,168.8968719629394,48.663294964546736,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,152.54742087094172,125.10300608132064,50.47977018844154,23.18432028619157,125.4916215633461,7.884514792163477,137.13605309625706,108.893172296429,19.3432753666928,169.49887326949195,282,
127,26412.81837159712,154.4961769902448,170.0586478177593,medical,60,127,66.05872469746777,94.48078140697612,20,20,168.8968719629394,48.663294964546736,148.19381182368397,194.3620637516038,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,152.54742087094172,125.10300608132064,50.47977018844154,23.18432028619157,125.4916215633461,7.884514792163477,137.13605309625706,108.893172296429,19.3432753666928,169.49887326949195,288,
171,27112.290083798885,32.1649705317671,82.32901795755873,police,120,171,66.05872469746777,94.48078140697612,20,20,168.8968719629394,48.663294964546736,154.4961769902448,170.0586478177593,11.982606586933798,87.92109998408219,50,100,176.13133455156472,115.13806936201604,152.54742087094172,125.10300608132064,50.47977018844154,23.18432028619157,125.4916215633461,7.884514792163477,137.13605309625706,108.893172296429,19.3432753666928,169.49887326949195,298,
238,28492.909372941696,173.2895777013602,26.3606459123795,police,60,238,66.05872469746777,94.48078140697612,20,20,168.8968719629394,48.663294964546736,154.4961769902448,170.0586478177593,32.1649705317671,82.32901795755873,50,100,176.13133455156472,115.13806936201604,152.54742087094172,125.10300608132064,50.47977018844154,23.18432028619157,125.4916215633461,7.884514792163477,137.13605309625706,108.893172296429,19.3432753666928,169.49887326949195,319,
268,28742.6289544812,135.6435785867069,118.62685007845276,medical,600,268,66.05872469746777,94.48078140697612,20,20,168.8968719629394,48.663294964546736,154.4961769902448,170.0586478177593,32.1649705317671,82.32901795755873,50,100,176.13133455156472,115.13806936201604,152.54742087094172,125.10300608132064,50.47977018844154,23.18432028619157,173.2895777013602,26.3606459123795,137.13605309625706,108.893172296429,19.3432753666928,169.49887326949195,322,
226,30098.42860394838,46.96000648626581,107.50932117650515,police,120,226,66.05872469746777,94.48078140697612,20,20,168.8968719629394,48.663294964546736,154.4961769902448,170.0586478177593,32.1649705317671,82.32901795755873,50,100,176.13133455156472,115.13806936201604,152.54742087094172,125.10300608132064,50.47977018844154,23.18432028619157,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,19.3432753666928,169.49887326949195,334,
435,30643.88055078969,61.36126840072396,81.08332259367945,medical,600,435,66.05872469746777,94.48078140697612,20,20,168.8968719629394,48.663294964546736,154.4961769902448,170.0586478177593,32.1649705317671,82.32901795755873,46.96000648626581,107.50932117650515,176.13133455156472,115.13806936201604,152.54742087094172,125.10300608132064,50.47977018844154,23.18432028619157,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,19.3432753666928,169.49887326949195,341,
143,31274.00532779767,38.51685869030348,23.910948251010566,medical,600,143,61.36126840072396,81.08332259367945,20,20,168.8968719629394,48.663294964546736,154.4961769902448,170.0586478177593,32.1649705317671,82.32901795755873,46.96000648626581,107.50932117650515,176.13133455156472,115.13806936201604,152.54742087094172,125.10300608132064,50.47977018844154,23.18432028619157,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,19.3432753666928,169.49887326949195,341,
164,32232.468198884373,137.73559824241875,139.94673699514345,police,300,164,61.36126840072396,81.08332259367945,20,20,168.8968719629394,48.663294964546736,154.4961769902448,170.0586478177593,32.1649705317671,82.32901795755873,46.96000648626581,107.50932117650515,176.13133455156472,115.13806936201604,152.54742087094172,125.10300608132064,38.51685869030348,23.910948251010566,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,19.3432753666928,169.49887326949195,346,
370,32444.14049689318,60.564921221775215,106.69560595367612,medical,600,370,61.36126840072396,81.08332259367945,20,20,168.8968719629394,48.663294964546736,154.4961769902448,170.0586478177593,32.1649705317671,82.32901795755873,46.96000648626581,107.50932117650515,176.13133455156472,115.13806936201604,137.73559824241875,139.94673699514345,38.51685869030348,23.910948251010566,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,19.3432753666928,169.49887326949195,345,
364,32484.70196158309,63.40553409209637,14.83300395306124,police,300,364,60.564921221775215,106.69560595367612,20,20,168.8968719629394,48.663294964546736,154.4961769902448,170.0586478177593,32.1649705317671,82.32901795755873,46.96000648626581,107.50932117650515,176.13133455156472,115.13806936201604,137.73559824241875,139.94673699514345,38.51685869030348,23.910948251010566,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,19.3432753666928,169.49887326949195,336,
122,32716.47668739426,133.89176892398214,112.79391638600384,fire,60,122,60.564921221775215,106.69560595367612,20,20,168.8968719629394,48.663294964546736,154.4961769902448,170.0586478177593,32.1649705317671,82.32901795755873,46.96000648626581,107.50932117650515,176.13133455156472,115.13806936201604,137.73559824241875,139.94673699514345,63.40553409209637,14.83300395306124,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,19.3432753666928,169.49887326949195,335,
349,32718.822299144307,47.199076084070455,129.0325751398928,police,120,349,60.564921221775215,106.69560595367612,20,20,168.8968719629394,48.663294964546736,5.954573002425864,6.554379874322824,32.1649705317671,82.32901795755873,46.96000648626581,107.50932117650515,176.13133455156472,115.13806936201604,137.73559824241875,139.94673699514345,63.40553409209637,14.83300395306124,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,19.3432753666928,169.49887326949195,335,
147,32810.30319259684,9.103140196643666,10.905204047797556,police,300,147,60.564921221775215,106.69560595367612,20,20,168.8968719629394,48.663294964546736,133.89176892398214,112.79391638600384,32.1649705317671,82.32901795755873,47.199076084070455,129.0325751398928,176.13133455156472,115.13806936201604,137.73559824241875,139.94673699514345,63.40553409209637,14.83300395306124,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,19.3432753666928,169.49887326949195,335,
89,32992.99751613251,84.08926675458166,188.0727341460366,medical,600,89,60.564921221775215,106.69560595367612,20,20,168.8968719629394,48.663294964546736,133.89176892398214,112.79391638600384,32.1649705317671,82.32901795755873,47.199076084070455,129.0325751398928,176.13133455156472,115.13806936201604,137.73559824241875,139.94673699514345,9.103140196643666,10.905204047797556,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,19.3432753666928,169.49887326949195,334,
445,34199.972881628855,83.08491476893197,112.78223701974268,medical,120,445,60.564921221775215,106.69560595367612,20,20,168.8968719629394,48.663294964546736,133.89176892398214,112.79391638600384,32.1649705317671,82.32901795755873,47.199076084070455,129.0325751398928,176.13133455156472,115.13806936201604,137.73559824241875,139.94673699514345,9.103140196643666,10.905204047797556,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,84.08926675458166,188.0727341460366,344,
39,34295.23118952648,187.1028481161342,114.20861866505687,police,60,39,83.08491476893197,112.78223701974268,20,20,168.8968719629394,48.663294964546736,133.89176892398214,112.79391638600384,32.1649705317671,82.32901795755873,47.199076084070455,129.0325751398928,176.13133455156472,115.13806936201604,137.73559824241875,139.94673699514345,9.103140196643666,10.905204047797556,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,84.08926675458166,188.0727341460366,344,
101,34561.49616038189,92.92864749964733,106.22637717111772,medical,600,101,83.08491476893197,112.78223701974268,20,20,168.8968719629394,48.663294964546736,133.89176892398214,112.79391638600384,32.1649705317671,82.32901795755873,47.199076084070455,129.0325751398928,187.1028481161342,114.20861866505687,137.73559824241875,139.94673699514345,9.103140196643666,10.905204047797556,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,84.08926675458166,188.0727341460366,347,
313,35872.90016920937,50.000642317801415,128.23580724088944,police,300,313,92.92864749964733,106.22637717111772,20,20,168.8968719629394,48.663294964546736,133.89176892398214,112.79391638600384,32.1649705317671,82.32901795755873,47.199076084070455,129.0325751398928,187.1028481161342,114.20861866505687,137.73559824241875,139.94673699514345,9.103140196643666,10.905204047797556,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,84.08926675458166,188.0727341460366,358,
18,36192.17882101124,148.99779641832131,107.79545793345808,medical,600,18,92.92864749964733,106.22637717111772,20,20,168.8968719629394,48.663294964546736,133.89176892398214,112.79391638600384,32.1649705317671,82.32901795755873,50.000642317801415,128.23580724088944,187.1028481161342,114.20861866505687,137.73559824241875,139.94673699514345,9.103140196643666,10.905204047797556,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,84.08926675458166,188.0727341460366,358,
485,36277.25060809601,109.30926574515748,36.809554572253504,medical,600,485,92.92864749964733,106.22637717111772,20,20,168.8968719629394,48.663294964546736,148.99779641832131,107.79545793345808,32.1649705317671,82.32901795755873,50.000642317801415,128.23580724088944,187.1028481161342,114.20861866505687,137.73559824241875,139.94673699514345,9.103140196643666,10.905204047797556,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,84.08926675458166,188.0727341460366,350,
402,38303.46359144601,136.14537901013577,6.314102668419874,medical,60,402,92.92864749964733,106.22637717111772,20,20,109.30926574515748,36.809554572253504,148.99779641832131,107.79545793345808,32.1649705317671,82.32901795755873,50.000642317801415,128.23580724088944,187.1028481161342,114.20861866505687,137.73559824241875,139.94673699514345,9.103140196643666,10.905204047797556,173.2895777013602,26.3606459123795,135.6435785867069,118.62685007845276,84.08926675458166,188.0727341460366,373,
